DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRSDepTime,DepartureDelay,DepDelay15,TaxiInTime,ArrivalDelay,CRSDuration,ActualDuration,ActualAirTime,DISTANCE,DepDelayOver15,ArrDelayOver15,DiffActualCRSDiration
21,1,4/21/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",2233,1,0,6,-16,127,110,82,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-17
21,1,4/21/14,WN,SJC,"San Jose, CA",SEA,"Seattle, WA",715,186,1,6,165,125,104,90,697,Departure Delay more than 15 min,Arrival Delay more than 15 min,-21
21,1,4/21/14,WN,SJC,"San Jose, CA",SEA,"Seattle, WA",2000,-1,0,9,-27,130,104,88,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-26
21,1,4/21/14,WN,SJC,"San Jose, CA",SEA,"Seattle, WA",1230,-3,0,5,-26,125,102,89,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-23
21,1,4/21/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1735,78,1,8,63,115,100,81,671,Departure Delay more than 15 min,Arrival Delay more than 15 min,-15
21,1,4/21/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",620,0,0,4,-11,125,114,90,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-11
21,1,4/21/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1400,2,0,6,-15,115,98,84,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-17
21,1,4/21/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1100,-4,0,8,-14,115,105,87,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-10
21,1,4/21/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",905,65,1,7,50,120,105,85,671,Departure Delay more than 15 min,Arrival Delay more than 15 min,-15
21,1,4/21/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1915,10,0,12,-9,120,101,83,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-19
22,2,4/22/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1725,-6,0,6,2,121,129,112,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,8
22,2,4/22/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",2100,69,1,4,71,116,118,98,679,Departure Delay more than 15 min,Arrival Delay more than 15 min,2
22,2,4/22/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1005,-10,0,4,-10,120,120,105,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,0
22,2,4/22/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1255,-6,0,4,4,129,139,104,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,10
22,2,4/22/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",915,-15,0,5,-24,122,113,96,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-9
