"tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
1572,"2020-12-29 13:26:52.6530","2020-12-29 13:53:05.4970",3809,"W 55 St & 6 Ave",40.763189,-73.978434,385,"E 55 St & 2 Ave",40.75797322,-73.96603308,26594,"Customer",1969,0
975,"2020-12-09 07:37:40.8490","2020-12-09 07:53:56.0640",504,"1 Ave & E 16 St",40.73221853,-73.98165557,332,"Cherry St",40.71219906,-73.97948148,44256,"Subscriber",1969,0
919,"2020-12-22 17:36:46.2740","2020-12-22 17:52:05.6790",3913,"Sands St Gate",40.699569,-73.979827,344,"Monroe St & Bedford Ave",40.6851443,-73.95380904,49333,"Customer",1969,0
175,"2020-12-21 18:10:37.5380","2020-12-21 18:13:33.3440",3463,"E 16 St & Irving Pl",40.7353670556054,-73.9879739284515,503,"E 20 St & Park Ave",40.73827428,-73.98751968,47821,"Subscriber",1970,1
664,"2020-12-05 17:19:26.3150","2020-12-05 17:30:31.0120",3092,"Berry St & N 8 St",40.7190095,-73.95852515,3112,"Milton St & Franklin St",40.72906,-73.95779,47970,"Customer",1978,1
619,"2020-12-02 20:46:21.5520","2020-12-02 20:56:40.8740",293,"Lafayette St & E 8 St",40.7302066052995,-73.9910262823105,3707,"Lexington Ave & E 26 St",40.741459,-73.983293,44098,"Subscriber",1971,2
4157,"2020-12-10 09:39:25.0320","2020-12-10 10:48:42.5940",3583,"Eastern Pkwy & Washington Ave",40.6716493,-73.9631145,3112,"Milton St & Franklin St",40.72906,-73.95779,47624,"Customer",1969,0
189,"2020-12-25 12:08:24.7270","2020-12-25 12:11:33.7450",3628,"Lenox Ave & W 117 St",40.8025566,-73.9490782,3535,"Mt Morris Park W & W 120 St",40.804038,-73.945925,43947,"Subscriber",1965,1
565,"2020-12-13 01:05:51.0130","2020-12-13 01:15:16.1450",3336,"E 97 St & Madison Ave",40.787801,-73.953559,3151,"E 81 St & York Ave",40.7728384,-73.94989233,18239,"Subscriber",1998,1
167,"2020-12-27 10:58:13.9160","2020-12-27 11:01:00.9540",3121,"Jackson Ave & 46 Rd",40.74524768,-73.94733276,3124,"46 Ave & 5 St",40.74731,-73.95451,48249,"Subscriber",1974,1
463,"2020-12-30 09:45:00.9110","2020-12-30 09:52:44.2040",432,"E 7 St & Avenue A",40.72621788,-73.98379855,402,"Broadway & E 22 St",40.7403432,-73.98955109,37215,"Subscriber",1986,1
281,"2020-12-28 12:48:40.6630","2020-12-28 12:53:22.3320",478,"11 Ave & W 41 St",40.76030096,-73.99884222,490,"8 Ave & W 33 St",40.751551,-73.993934,48056,"Subscriber",1964,1
