DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRSDepTime,DepartureDelay,DepDelay15,TaxiInTime,ArrivalDelay,CRSDuration,ActualDuration,ActualAirTime),DISTANCE,DepDelayOver15,ArrDelayOver15
17,5,1/17/14,VX,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2005,2,0,8,0,120,118,99,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
16,4,1/16/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2100,-7,0,9,-9,118,116,96,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
7,1,4/7/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1327,5,0,6,-17,133,111,88,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
3,5,1/3/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1010,-6,0,5,2,120,128,111,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
2,7,3/2/14,AS,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,955,-11,0,11,-6,115,120,92,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
14,1,4/14/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1540,-3,0,5,-7,119,115,100,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
10,5,1/10/14,OO,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1650,4,0,7,-4,131,123,107,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
18,6,1/18/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2100,-6,0,4,-12,118,112,91,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
17,1,2/17/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1730,-11,0,9,0,118,129,104,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
28,5,3/28/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1150,10,0,6,3,115,108,92,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
17,1,2/17/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1210,25,1,3,11,120,106,97,671,Departure Delay more than 15 min,Arrival Delay 15 min or less
30,4,1/30/14,OO,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1403,34,1,5,27,131,124,99,679,Departure Delay more than 15 min,Arrival Delay more than 15 min
4,2,2/4/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1010,-3,0,9,6,120,129,105,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
30,3,4/30/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1725,-6,0,6,-13,121,114,98,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
16,4,1/16/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,620,4,0,12,0,131,127,97,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
30,3,4/30/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1400,-8,0,4,-25,129,112,94,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
17,4,4/17/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1540,7,0,7,-2,119,110,95,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
23,7,3/23/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,700,-7,0,4,5,118,130,101,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
6,4,2/6/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1405,66,1,5,60,115,109,96,671,Departure Delay more than 15 min,Arrival Delay more than 15 min
1,2,4/1/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,2050,24,1,4,19,115,110,96,671,Departure Delay more than 15 min,Arrival Delay more than 15 min
5,3,3/5/14,OO,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,904,10,0,5,2,130,122,100,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
14,2,1/14/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,700,-12,0,6,-9,125,128,103,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
15,3,1/15/14,OO,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1650,7,0,8,7,131,131,108,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
18,2,2/18/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1255,6,0,5,0,125,119,95,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
5,7,1/5/14,WN,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1935,204,1,5,190,125,111,96,697,Departure Delay more than 15 min,Arrival Delay more than 15 min
21,5,2/21/14,AS,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,955,-5,0,8,1,115,121,101,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
17,4,4/17/14,WN,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1230,-6,0,6,-18,125,113,98,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
10,4,4/10/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1937,-2,0,8,-21,137,118,92,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
17,4,4/17/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1100,-3,0,7,-12,115,106,88,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
12,3,3/12/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1925,-4,0,8,3,116,123,99,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
23,3,4/23/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2233,17,1,8,10,127,120,90,679,Departure Delay more than 15 min,Arrival Delay 15 min or less
1,6,3/1/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,803,-6,0,6,-26,131,111,94,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
16,3,4/16/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1937,11,0,8,4,137,130,102,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
2,3,4/2/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1925,4,0,7,3,116,115,98,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
5,7,1/5/14,OO,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1605,2,0,10,-7,131,122,96,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
27,4,2/27/14,AS,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1845,-9,0,6,-4,114,119,99,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
20,4,2/20/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1845,-9,0,7,-4,125,130,111,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
