State,Medical School,Men,Women,All,Year,,,,,,,,,,,,
MA,Harvard,80,77,157,3,,,,,,,,,,,,
MA,Massachusetts-Chan,68,98,166,3,,,,,,,,,,,,
MA,Tufts,103,103,206,3,,,,,,,,,,,,
MD,Johns Hopkins,61,68,129,3,,,,,,,,,,,,
MD,Maryland,65,84,149,3,,,,,,,,,,,,
MD,Uniformed Services-Hebert,87,74,161,3,,,,,,,,,,,,
MI,Central Michigan,51,53,104,3,,,,,,,,,,,,
MI,Michigan,64,98,162,3,,,,,,,,,,,,
MI,Michigan State,66,104,170,3,,,,,,,,,,,,
MI,Oakland Beaumont,62,58,120,3,,,,,,,,,,,,
MI,Wayne State,147,160,307,3,,,,,,,,,,,,
MI,Western Michigan-Stryker,45,41,86,3,,,,,,,,,,,,
MN,Mayo-Alix,46,49,95,3,,,,,,,,,,,,
MN,Minnesota,109,130,239,3,,,,,,,,,,,,
MO,Missouri Columbia,52,57,109,3,,,,,,,,,,,,
MO,Missouri Kansas City,41,59,100,3,,,,,,,,,,,,
MO,Saint Louis,90,78,168,3,,,,,,,,,,,,
MO,Washington U St Louis,59,52,111,3,,,,,,,,,,,,
MS,Mississippi,90,69,159,3,,,,,,,,,,,,
NC,Duke,46,74,120,3,,,,,,,,,,,,
NC,East Carolina-Brody,40,45,85,3,,,,,,,,,,,,
NC,North Carolina,86,99,185,3,,,,,,,,,,,,
NC,Wake Forest,74,63,137,3,,,,,,,,,,,,
ND,North Dakota,34,36,70,3,,,,,,,,,,,,
NE,Creighton,78,85,163,3,,,,,,,,,,,,
NE,Nebraska,82,51,133,3,,,,,,,,,,,,
NH,Dartmouth-Geisel,40,59,99,3,,,,,,,,,,,,
NJ,Cooper Rowan,52,48,100,3,,,,,,,,,,,,
NJ,Hackensack Meridian,34,29,63,3,,,,,,,,,,,,
NJ,Rutgers New Jersey,90,95,185,3,,,,,,,,,,,,
NJ,Rutgers-RW Johnson,80,88,168,3,,,,,,,,,,,,
NM,New Mexico,42,73,115,3,,,,,,,,,,,,
NV,Nevada Reno,29,41,70,3,,,,,,,,,,,,
NV,UNLV-Kerkorian,27,28,55,3,,,,,,,,,,,,
NY,Albany,59,85,144,3,,,,,,,,,,,,
NY,Buffalo-Jacobs,83,87,170,3,,,,,,,,,,,,
NY,CUNY,30,54,84,3,,,,,,,,,,,,
NY,Columbia-Vagelos,79,69,148,3,,,,,,,,,,,,
NY,Cornell-Weill,63,55,118,3,,,,,,,,,,,,
