AGEP,SEX,WAGP,ESR,PERNP,PINCP,Major
27,Male,27400,Employed,27400,27400,SOCIOLOGY
57,Female,0,Employed,349000,349000,ENGLISH LANGUAGE AND LITERATURE
47,Female,15000,Employed,15000,15100,MARKETING AND MARKETING RESEARCH
37,Male,45000,Employed,45000,45000,CIVIL ENGINEERING
75,Female,0,NotInLaborForce,0,10700,GENERAL BUSINESS
64,Female,0,NotInLaborForce,0,57200,GENERAL EDUCATION
76,Male,0,NotInLaborForce,0,23000,HUMAN RESOURCES AND PERSONNEL MANAGEMENT
22,Male,26000,Employed,26000,26000,BUSINESS MANAGEMENT AND ADMINISTRATION
40,Male,120000,Employed,120000,114600,ENGLISH LANGUAGE AND LITERATURE
78,Male,0,NotInLaborForce,0,62340,BUSINESS MANAGEMENT AND ADMINISTRATION
62,Male,36500,Employed,36500,36500,GENERAL SOCIAL SCIENCES
37,Female,12000,Employed,12000,12000,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS
55,Female,0,NotInLaborForce,0,0,GENERAL SOCIAL SCIENCES
48,Female,0,NotInLaborForce,0,4,COMMUNICATIONS
47,Male,80000,Employed,80000,80000,PHYSICAL FITNESS PARKS RECREATION AND LEISURE
39,Female,80000,Employed,80000,80000,HUMAN RESOURCES AND PERSONNEL MANAGEMENT
62,Female,7000,Employed,7600,28700,ACCOUNTING
59,Female,0,NotInLaborForce,0,28000,HUMAN SERVICES AND COMMUNITY ORGANIZATION
69,Female,0,NotInLaborForce,0,66000,SOCIOLOGY
45,Female,15000,Employed,15000,15000,FAMILY AND CONSUMER SCIENCES
77,Male,0,NotInLaborForce,0,196300,POLITICAL SCIENCE AND GOVERNMENT
48,Female,98000,Employed,98000,98150,BUSINESS MANAGEMENT AND ADMINISTRATION
27,Male,27000,Employed,27000,27000,PSYCHOLOGY
67,Male,0,NotInLaborForce,0,50600,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION
67,Female,47500,Employed,47500,47500,MULTI-DISCIPLINARY OR GENERAL SCIENCE
33,Male,24000,Employed,24000,24000,GENERAL BUSINESS
63,Female,0,NotInLaborForce,0,0,GENERAL EDUCATION
45,Male,161000,Employed,161000,169000,OTHER FOREIGN LANGUAGES
46,Female,0,NotInLaborForce,0,0,NURSING
57,Female,0,NotInLaborForce,0,0,COMMERCIAL ART AND GRAPHIC DESIGN
48,Female,200000,Employed,200000,200000,BIOLOGY
71,Female,0,NotInLaborForce,0,23200,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS
40,Male,84000,Employed,84000,84000,ELECTRICAL ENGINEERING
66,Male,50000,Employed,50000,50000,PSYCHOLOGY
53,Male,75000,Employed,75000,75000,PHYSICAL FITNESS PARKS RECREATION AND LEISURE
78,Female,0,NotInLaborForce,0,8700,ELEMENTARY EDUCATION
33,Male,490,Employed,5490,5490,FINE ARTS
39,Female,0,UnEmployed,0,0,BUSINESS MANAGEMENT AND ADMINISTRATION
46,Female,0,NotInLaborForce,0,0,SOCIOLOGY
44,Female,6000,Employed,6000,21000,FILM VIDEO AND PHOTOGRAPHIC ARTS
41,Female,65000,Employed,65000,65000,FILM VIDEO AND PHOTOGRAPHIC ARTS
39,Female,0,NotInLaborForce,0,0,LIBERAL ARTS
66,Male,231000,Employed,231000,355000,GENERAL AGRICULTURE
62,Female,48400,Employed,67000,67000,AREA ETHNIC AND CIVILIZATION STUDIES
32,Female,67000,Employed,67000,67000,ENGLISH LANGUAGE AND LITERATURE
78,Male,0,NotInLaborForce,0,0,CHEMISTRY
66,Female,48000,NotInLaborForce,48000,66000,GENERAL EDUCATION
25,Female,0,NotInLaborForce,0,0,OTHER FOREIGN LANGUAGES
38,Male,120000,Employed,120000,120000,GENERAL BUSINESS
51,Male,200000,Employed,200000,200000,FINE ARTS
58,Male,109000,Employed,109000,109000,ELECTRICAL ENGINEERING
35,Female,15000,Employed,15000,15000,MASS MEDIA
36,Female,52000,Employed,52000,52000,ADVERTISING AND PUBLIC RELATIONS
84,Male,0,NotInLaborForce,0,113000,HOSPITALITY MANAGEMENT
53,Female,70000,Employed,70000,70000,ACCOUNTING
41,Male,0,NotInLaborForce,0,0,FINE ARTS
72,Male,0,NotInLaborForce,0,60620,GENERAL BUSINESS
30,Female,77000,Employed,77000,77000,CRIMINAL JUSTICE AND FIRE PROTECTION
39,Male,0,NotInLaborForce,0,0,COMMUNICATION TECHNOLOGIES
28,Male,100000,NotInLaborForce,100000,100000,MECHANICAL ENGINEERING
59,Female,62000,Employed,63100,63100,MUSIC
46,Male,185000,Employed,185000,185000,ELECTRICAL ENGINEERING
45,Female,100000,Employed,100000,100600,MATHEMATICS
22,Male,25000,Employed,25000,25000,HISTORY
40,Female,60000,Employed,60000,60000,GENERAL ENGINEERING
23,Female,0,NotInLaborForce,0,0,ENVIRONMENTAL ENGINEERING
32,Female,35000,Employed,35000,35000,BIOLOGY
25,Female,55000,Employed,55000,55200,ENGLISH LANGUAGE AND LITERATURE
51,Male,136000,Employed,136000,150800,PHYSICS
35,Female,250000,Employed,250000,250000,HISTORY
43,Male,65000,Employed,65000,67500,ECONOMICS
53,Male,100000,Employed,100000,100000,GENERAL ENGINEERING
24,Male,20000,Employed,20000,20000,PSYCHOLOGY
57,Female,79000,Employed,79000,79000,GENERAL EDUCATION
70,Female,0,NotInLaborForce,0,11100,GENERAL BUSINESS
47,Female,0,NotInLaborForce,0,0,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES
37,Male,135000,Employed,135000,135000,PRE-LAW AND LEGAL STUDIES
62,Female,59000,Employed,59000,59000,TREATMENT THERAPY PROFESSIONS
53,Male,60000,Employed,60000,60000,NURSING
45,Female,0,NotInLaborForce,0,10000,GENERAL BUSINESS
54,Male,100000,Employed,100000,100000,BUSINESS MANAGEMENT AND ADMINISTRATION
23,Male,43000,Employed,43000,43000,MULTI-DISCIPLINARY OR GENERAL SCIENCE
57,Male,0,Employed,100000,100000,MARKETING AND MARKETING RESEARCH
64,Female,50000,Employed,50000,70000,NURSING
34,Male,50000,Employed,50000,50000,POLITICAL SCIENCE AND GOVERNMENT
50,Male,0,Employed,34800,34800,ELECTRICAL ENGINEERING
50,Female,15600,Employed,15600,15600,COMPUTER SCIENCE
32,Male,80000,Employed,80000,80000,ELECTRICAL ENGINEERING
48,Male,170000,Employed,170000,170000,THEOLOGY AND RELIGIOUS VOCATIONS
51,Female,10000,Employed,4200,4200,MARKETING AND MARKETING RESEARCH
30,Male,75000,Employed,75000,75000,GENERAL BUSINESS
41,Female,88000,Employed,113000,116400,BIOLOGICAL ENGINEERING
40,Female,0,NotInLaborForce,0,22000,MARKETING AND MARKETING RESEARCH
58,Female,95000,Employed,95000,95000,GENERAL SOCIAL SCIENCES
22,Female,0,NotInLaborForce,0,0,BIOLOGY
60,Female,112000,Employed,112000,112000,BIOLOGY
23,Male,43000,Employed,43000,43000,ELECTRICAL ENGINEERING
51,Male,0,UnEmployed,0,0,UNITED STATES HISTORY
58,Male,205000,NotInLaborForce,205000,211800,CIVIL ENGINEERING
70,Male,504000,Employed,504000,537600,AGRICULTURE PRODUCTION AND MANAGEMENT
55,Female,47000,Employed,47000,47000,PHYSICAL FITNESS PARKS RECREATION AND LEISURE
29,Female,55000,Employed,55000,55000,ELEMENTARY EDUCATION
72,Male,0,NotInLaborForce,0,33800,POLITICAL SCIENCE AND GOVERNMENT
79,Male,0,NotInLaborForce,0,4500,CIVIL ENGINEERING
31,Female,34000,Employed,34000,34000,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS
34,Female,0,NotInLaborForce,0,0,MARKETING AND MARKETING RESEARCH
39,Female,0,NotInLaborForce,0,0,JOURNALISM
40,Male,65000,Employed,65000,65000,MECHANICAL ENGINEERING
60,Female,66000,Employed,66000,80000,ACCOUNTING
56,Male,90000,Employed,90000,90000,ELECTRICAL ENGINEERING
56,Female,0,NotInLaborForce,0,1,COMPUTER SCIENCE
23,Male,0,Employed,30000,30000,FILM VIDEO AND PHOTOGRAPHIC ARTS
52,Female,42100,Employed,42100,42100,GENERAL BUSINESS
60,Female,7000,UnEmployed,7000,35500,MULTI/INTERDISCIPLINARY STUDIES
55,Female,75000,Employed,75000,75000,MARKETING AND MARKETING RESEARCH
45,Female,80000,Employed,80000,80000,COMMUNITY AND PUBLIC HEALTH
35,Male,80000,Employed,429000,429000,ENGLISH LANGUAGE AND LITERATURE
78,Male,0,NotInLaborForce,0,24000,GENERAL BUSINESS
57,Male,120000,Employed,120000,160000,BUSINESS MANAGEMENT AND ADMINISTRATION
74,Female,22000,Employed,22000,40000,BUSINESS MANAGEMENT AND ADMINISTRATION
56,Male,504000,Employed,504000,812000,ECONOMICS
50,Female,105000,Employed,105000,125000,AREA ETHNIC AND CIVILIZATION STUDIES
45,Male,50000,Employed,50000,50000,CHEMICAL ENGINEERING
36,Male,72000,Employed,72000,75000,MARKETING AND MARKETING RESEARCH
22,Female,3000,Employed,3000,3000,ECONOMICS
40,Female,0,NotInLaborForce,0,0,PSYCHOLOGY
44,Male,75000,UnEmployed,75000,75000,ENVIRONMENTAL SCIENCE
64,Male,50000,Employed,50000,50000,BUSINESS MANAGEMENT AND ADMINISTRATION
40,Female,108000,Employed,108000,108850,ENGLISH LANGUAGE AND LITERATURE
34,Female,0,NotInLaborForce,0,0,DRAMA AND THEATER ARTS
37,Male,504000,Employed,504000,604000,BUSINESS MANAGEMENT AND ADMINISTRATION
48,Female,0,NotInLaborForce,1000,1000,MARKETING AND MARKETING RESEARCH
37,Female,57000,Employed,57000,57000,JOURNALISM
62,Female,0,NotInLaborForce,0,30000,HUMANITIES
47,Female,80000,Employed,80000,80000,NURSING
23,Male,16000,NotInLaborForce,16000,34000,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE
32,Male,135000,Employed,135000,135000,ACCOUNTING
58,Female,33000,Employed,33000,33000,FAMILY AND CONSUMER SCIENCES
78,Male,0,NotInLaborForce,0,70040,ASTRONOMY AND ASTROPHYSICS
78,Male,0,NotInLaborForce,0,103000,HUMANITIES
82,Female,9000,Employed,9000,20000,JOURNALISM
39,Male,140000,Employed,140000,140004,BUSINESS MANAGEMENT AND ADMINISTRATION
66,Male,1800,NotInLaborForce,1800,61800,UNITED STATES HISTORY
52,Male,77000,Employed,77000,77000,COMPUTER SCIENCE
26,Male,0,NotInLaborForce,0,0,BIOCHEMICAL SCIENCES
88,Female,0,NotInLaborForce,0,13000,SOCIAL WORK
85,Female,0,Employed,18600,27000,GENERAL EDUCATION
49,Male,52000,Employed,52000,59200,COMPUTER SCIENCE
79,Male,0,NotInLaborForce,0,37200,ECONOMICS
40,Female,75000,Employed,75000,75000,ART HISTORY AND CRITICISM
36,Female,20000,Employed,20000,54000,INTERNATIONAL BUSINESS
57,Male,130000,Employed,130000,130000,ELECTRICAL ENGINEERING
21,Female,10000,Employed,10000,10000,ECONOMICS
43,Male,205000,Employed,285000,315000,HISTORY
60,Male,62000,Employed,62000,62000,FINE ARTS
74,Female,0,NotInLaborForce,0,83800,SOCIAL WORK
38,Male,60000,Employed,60000,60000,GENERAL BUSINESS
50,Male,70000,Employed,70000,70000,BUSINESS MANAGEMENT AND ADMINISTRATION
76,Female,1200,Employed,1200,325100,SOCIAL WORK
24,Male,0,NotInLaborForce,0,0,MECHANICAL ENGINEERING
22,Female,9000,Employed,9000,9000,SOCIOLOGY
42,Female,20000,NotInLaborForce,20000,20000,PSYCHOLOGY
60,Female,0,NotInLaborForce,0,0,MUSIC
61,Male,0,NotInLaborForce,0,29200,ARCHITECTURE
49,Male,129000,Employed,129000,129000,POLITICAL SCIENCE AND GOVERNMENT
25,Female,5000,UnEmployed,5000,5000,FAMILY AND CONSUMER SCIENCES
66,Female,0,NotInLaborForce,0,48900,ANTHROPOLOGY AND ARCHEOLOGY
46,Female,100000,Employed,100000,100000,HOSPITALITY MANAGEMENT
62,Male,504000,Employed,504000,509000,FINE ARTS
59,Male,103000,Employed,103000,103440,CIVIL ENGINEERING
36,Male,70000,Employed,70000,70000,GENERAL BUSINESS
40,Female,130000,Employed,130000,130000,BIOCHEMICAL SCIENCES
52,Female,60000,Employed,90000,120000,ACCOUNTING
